year,age,sex,race,indicator,value,lower,upper,unit,source,category,subcategory,description
2015,65+,Overall,Overall,Diagnosed Diabetes,20.8,14,28.7,"Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2016,20-44,Overall,Overall,Diagnosed Diabetes,2.7,1.9,4,"Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2016,45-64,Overall,Overall,Diagnosed Diabetes,12.2,8.5,17.2,"Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2016,65+,Overall,Overall,Diagnosed Diabetes,19.3,13.9,26.2,"Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2017,20-44,Overall,Overall,Diagnosed Diabetes,2.9,1.7,4.8,"Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2017,45-64,Overall,Overall,Diagnosed Diabetes,13,8,18.9,"Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2017,65+,Overall,Overall,Diagnosed Diabetes,20.8,13.9,28.9,"Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2018,20-44,Overall,Overall,Diagnosed Diabetes,2.8,1.6,4.6,"Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2018,45-64,Overall,Overall,Diagnosed Diabetes,12.5,7.5,19.4,"Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2018,65+,Overall,Overall,Diagnosed Diabetes,19.3,12.4,29,"Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2019,20-44,Overall,Overall,Diagnosed Diabetes,2.4,1.4,3.6,"Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2019,45-64,Overall,Overall,Diagnosed Diabetes,10.9,6.8,15.8,"Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2019,65+,Overall,Overall,Diagnosed Diabetes,16.9,10.8,23.5,"Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2020,20-44,Overall,Overall,Diagnosed Diabetes,2.6,1.5,4,"Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2020,45-64,Overall,Overall,Diagnosed Diabetes,11.3,6.9,17,"Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2020,65+,Overall,Overall,Diagnosed Diabetes,17.4,11,25.6,"Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2021,20-44,Overall,Overall,Diagnosed Diabetes,2.8,1.9,4.2,"Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2021,45-64,Overall,Overall,Diagnosed Diabetes,12.5,8.9,17.8,"Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2021,65+,Overall,Overall,Diagnosed Diabetes,18.6,13.5,25.6,"Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2004,Overall,Male,Overall,Diagnosed Diabetes,6.8,4.8,9.3,"Age-Adjusted Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2004,Overall,Female,Overall,Diagnosed Diabetes,6.3,4.5,8.4,"Age-Adjusted Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2005,Overall,Male,Overall,Diagnosed Diabetes,6.9,4.5,9.8,"Age-Adjusted Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2005,Overall,Female,Overall,Diagnosed Diabetes,6.1,4,8.7,"Age-Adjusted Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2006,Overall,Male,Overall,Diagnosed Diabetes,7.2,4.9,10,"Age-Adjusted Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2006,Overall,Female,Overall,Diagnosed Diabetes,6.3,4.3,8.8,"Age-Adjusted Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2007,Overall,Male,Overall,Diagnosed Diabetes,9.5,7.3,12.3,"Age-Adjusted Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2007,Overall,Female,Overall,Diagnosed Diabetes,8.4,6.4,11,"Age-Adjusted Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2008,Overall,Male,Overall,Diagnosed Diabetes,9.3,7.1,11.9,"Age-Adjusted Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2008,Overall,Female,Overall,Diagnosed Diabetes,8.3,6.3,10.6,"Age-Adjusted Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2009,Overall,Male,Overall,Diagnosed Diabetes,8.7,6.4,11.3,"Age-Adjusted Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2009,Overall,Female,Overall,Diagnosed Diabetes,7.7,5.6,9.9,"Age-Adjusted Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2010,Overall,Male,Overall,Diagnosed Diabetes,9.4,6.2,13.4,"Age-Adjusted Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2010,Overall,Female,Overall,Diagnosed Diabetes,8,5.5,11.5,"Age-Adjusted Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2011,Overall,Male,Overall,Diagnosed Diabetes,8.5,6.2,11.7,"Age-Adjusted Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2011,Overall,Female,Overall,Diagnosed Diabetes,7.5,5.4,10.4,"Age-Adjusted Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2012,Overall,Male,Overall,Diagnosed Diabetes,8.6,6.2,11.3,"Age-Adjusted Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2012,Overall,Female,Overall,Diagnosed Diabetes,7.6,5.5,10.1,"Age-Adjusted Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2013,Overall,Male,Overall,Diagnosed Diabetes,7.3,4.9,10.5,"Age-Adjusted Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2013,Overall,Female,Overall,Diagnosed Diabetes,6.5,4.3,9.8,"Age-Adjusted Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2014,Overall,Male,Overall,Diagnosed Diabetes,8.7,6.3,11.9,"Age-Adjusted Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2014,Overall,Female,Overall,Diagnosed Diabetes,7.7,5.4,10.4,"Age-Adjusted Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2015,Overall,Male,Overall,Diagnosed Diabetes,9.7,6.5,13.6,"Age-Adjusted Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2015,Overall,Female,Overall,Diagnosed Diabetes,8.7,5.8,12.4,"Age-Adjusted Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2016,Overall,Male,Overall,Diagnosed Diabetes,9,6.3,12.6,"Age-Adjusted Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2016,Overall,Female,Overall,Diagnosed Diabetes,8.1,5.7,11.1,"Age-Adjusted Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2017,Overall,Male,Overall,Diagnosed Diabetes,9.5,6.1,13.6,"Age-Adjusted Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2017,Overall,Female,Overall,Diagnosed Diabetes,8.7,5.7,12.9,"Age-Adjusted Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2018,Overall,Male,Overall,Diagnosed Diabetes,9.1,5.6,14.1,"Age-Adjusted Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2018,Overall,Female,Overall,Diagnosed Diabetes,8.2,5.2,12.5,"Age-Adjusted Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2019,Overall,Male,Overall,Diagnosed Diabetes,7.9,5.1,11.5,"Age-Adjusted Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2019,Overall,Female,Overall,Diagnosed Diabetes,7.2,4.5,10,"Age-Adjusted Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2020,Overall,Male,Overall,Diagnosed Diabetes,8.4,5.2,12.5,"Age-Adjusted Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2020,Overall,Female,Overall,Diagnosed Diabetes,7.2,4.6,10.7,"Age-Adjusted Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2021,Overall,Male,Overall,Diagnosed Diabetes,9.1,6.5,12.8,"Age-Adjusted Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2021,Overall,Female,Overall,Diagnosed Diabetes,8,5.7,11.3,"Age-Adjusted Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2004,Overall,Overall,Overall,Newly Diagnosed Diabetes,11.1,7.7,15.4,"Age-Adjusted Rate per 1000, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2005,Overall,Overall,Overall,Newly Diagnosed Diabetes,11.2,7.9,15.5,"Age-Adjusted Rate per 1000, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2006,Overall,Overall,Overall,Newly Diagnosed Diabetes,12.8,9.1,17.2,"Age-Adjusted Rate per 1000, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2007,Overall,Overall,Overall,Newly Diagnosed Diabetes,13,9.5,17.7,"Age-Adjusted Rate per 1000, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2008,Overall,Overall,Overall,Newly Diagnosed Diabetes,11.8,8.8,15.8,"Age-Adjusted Rate per 1000, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2009,Overall,Overall,Overall,Newly Diagnosed Diabetes,10.7,7.6,14.7,"Age-Adjusted Rate per 1000, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2010,Overall,Overall,Overall,Newly Diagnosed Diabetes,9.6,6.9,13.2,"Age-Adjusted Rate per 1000, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2011,Overall,Overall,Overall,Newly Diagnosed Diabetes,9.5,6.6,13.4,"Age-Adjusted Rate per 1000, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2012,Overall,Overall,Overall,Newly Diagnosed Diabetes,7.7,5.3,11.1,"Age-Adjusted Rate per 1000, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2013,Overall,Overall,Overall,Newly Diagnosed Diabetes,7.9,5.8,10.4,"Age-Adjusted Rate per 1000, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2014,Overall,Overall,Overall,Newly Diagnosed Diabetes,9.4,7,12.4,"Age-Adjusted Rate per 1000, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2015,Overall,Overall,Overall,Newly Diagnosed Diabetes,9.9,7,13.5,"Age-Adjusted Rate per 1000, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2016,Overall,Overall,Overall,Newly Diagnosed Diabetes,9.8,5.3,16.7,"Age-Adjusted Rate per 1000, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2017,Overall,Overall,Overall,Newly Diagnosed Diabetes,9.9,5.8,16.1,"Age-Adjusted Rate per 1000, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2018,Overall,Overall,Overall,Newly Diagnosed Diabetes,8.3,4.9,12.5,"Age-Adjusted Rate per 1000, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2019,Overall,Overall,Overall,Newly Diagnosed Diabetes,8.6,5.2,12.8,"Age-Adjusted Rate per 1000, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2004,Overall,Overall,Overall,Obesity,21.9,16.8,27.5,"Age-Adjusted Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2005,Overall,Overall,Overall,Obesity,21.5,15.3,28.1,"Age-Adjusted Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2006,Overall,Overall,Overall,Obesity,25.4,18.8,33,"Age-Adjusted Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2007,Overall,Overall,Overall,Obesity,32.5,26.4,39,"Age-Adjusted Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2008,Overall,Overall,Overall,Obesity,28.7,22.5,36,"Age-Adjusted Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2009,Overall,Overall,Overall,Obesity,27.1,20.4,35.3,"Age-Adjusted Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2010,Overall,Overall,Overall,Obesity,23.8,16.8,30.7,"Age-Adjusted Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2011,Overall,Overall,Overall,Obesity,18.5,12.9,25.4,"Age-Adjusted Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2012,Overall,Overall,Overall,Obesity,15.5,11,22.7,"Age-Adjusted Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2013,Overall,Overall,Overall,Obesity,24.2,18.4,30.8,"Age-Adjusted Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2014,Overall,Overall,Overall,Obesity,27.4,21.5,33.9,"Age-Adjusted Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2015,Overall,Overall,Overall,Obesity,26.2,20,32.6,"Age-Adjusted Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2016,Overall,Overall,Overall,Obesity,30,23.1,37,"Age-Adjusted Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2017,Overall,Overall,Overall,Obesity,28.7,18.9,39.3,"Age-Adjusted Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2018,Overall,Overall,Overall,Obesity,27.7,18.9,36.9,"Age-Adjusted Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2019,Overall,Overall,Overall,Obesity,26.4,18,36,"Age-Adjusted Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2020,Overall,Overall,Overall,Obesity,22.3,14.6,30.7,"Age-Adjusted Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2021,Overall,Overall,Overall,Obesity,29.5,22,37.3,"Age-Adjusted Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2004,20-44,Overall,Overall,Obesity,20.5,15.1,26.3,"Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2004,45-64,Overall,Overall,Obesity,26.3,19.7,33.1,"Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2004,65+,Overall,Overall,Obesity,18.1,13.4,23.5,"Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2005,20-44,Overall,Overall,Obesity,20.3,13.6,27.8,"Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2005,45-64,Overall,Overall,Obesity,26,18.3,34.7,"Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2005,65+,Overall,Overall,Obesity,16.9,11,23.8,"Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2006,20-44,Overall,Overall,Obesity,23.7,16.7,32.1,"Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2006,45-64,Overall,Overall,Obesity,30.5,22.4,39.4,"Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2006,65+,Overall,Overall,Obesity,21.2,14.5,28.5,"Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2007,20-44,Overall,Overall,Obesity,31.1,24.1,39.2,"Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2007,45-64,Overall,Overall,Obesity,38.1,30.8,45.5,"Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2007,65+,Overall,Overall,Obesity,26.6,20.4,33.9,"Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2008,20-44,Overall,Overall,Obesity,27.4,20.2,35.7,"Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2008,45-64,Overall,Overall,Obesity,33.8,26.4,42.1,"Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2008,65+,Overall,Overall,Obesity,23.7,17.2,31.2,"Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2009,20-44,Overall,Overall,Obesity,25.7,18.3,34.4,"Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2009,45-64,Overall,Overall,Obesity,31.8,24,40.8,"Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2009,65+,Overall,Overall,Obesity,22.5,15.6,30.4,"Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2010,20-44,Overall,Overall,Obesity,22.4,15,29.3,"Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2010,45-64,Overall,Overall,Obesity,28.3,20.1,37.5,"Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2010,65+,Overall,Overall,Obesity,20.1,13.6,27.4,"Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2011,20-44,Overall,Overall,Obesity,17.3,12,23.9,"Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2011,45-64,Overall,Overall,Obesity,21.8,15.5,29.6,"Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2011,65+,Overall,Overall,Obesity,15.9,11.1,22.2,"Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2012,20-44,Overall,Overall,Obesity,14.3,10.1,21.2,"Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2012,45-64,Overall,Overall,Obesity,18.4,13.2,26.6,"Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2012,65+,Overall,Overall,Obesity,13.7,9.6,20.3,"Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2013,20-44,Overall,Overall,Obesity,22.6,17.2,29,"Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2013,45-64,Overall,Overall,Obesity,28.2,21.8,35.5,"Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2013,65+,Overall,Overall,Obesity,21.5,16.3,27.7,"Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2014,20-44,Overall,Overall,Obesity,25.4,19.1,32.6,"Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2014,45-64,Overall,Overall,Obesity,32.2,25.1,39.7,"Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
